account_id,customer_id,iban,product_id,branch_id,currency,status,opened_at,closed_at
ACC0000001,CUST000001,LU94G8F1CBFNO6B9M80O,PR001,BR005,EUR,OPEN,2023-05-09T14:19:23+00:00,
ACC0000002,CUST000002,LU43RJNVGFYGWWQC38HY,PR005,BR001,EUR,OPEN,2021-05-18T05:13:59+00:00,
ACC0000003,CUST000003,LU90ECOSFOGYR3XKXWNR,PR005,BR010,EUR,OPEN,2025-10-04T17:10:24+00:00,
ACC0000004,CUST000004,LU31K3YR9OUDOCUZRENU,PR002,BR010,EUR,OPEN,2024-09-19T15:48:18+00:00,
ACC0000005,CUST000005,LU17P98Q1ZXOI65FDHJK,PR008,BR007,EUR,OPEN,2021-12-12T03:05:14+00:00,
ACC0000006,CUST000006,LU7637Q9AH8RVHS1K3AQ,PR007,BR010,EUR,OPEN,2022-04-27T19:20:48+00:00,
ACC0000007,CUST000007,LU386MJXK87AU5BHXTPD,PR003,BR009,EUR,OPEN,2024-03-14T04:51:12+00:00,
ACC0000008,CUST000007,LU088II49KQ71N8MTZX2,PR004,BR010,EUR,CLOSED,2024-03-14T04:51:12+00:00,2024-03-14T04:51:12+00:00
ACC0000009,CUST000007,LU43B9OOAEDOECVE6PR5,PR008,BR002,EUR,OPEN,2024-03-14T04:51:12+00:00,
ACC0000010,CUST000008,LU600MGG1W103DGDZVGP,PR003,BR010,EUR,OPEN,2022-06-01T07:47:38+00:00,
ACC0000011,CUST000009,LU59PE29GD8AFPK054NZ,PR008,BR003,EUR,OPEN,2024-04-09T18:05:05+00:00,
ACC0000012,CUST000010,LU333S195JMSND8DUDD4,PR003,BR007,EUR,OPEN,2022-07-31T08:24:49+00:00,
ACC0000013,CUST000010,LU08EPZHPCF07UQNUPQZ,PR003,BR001,EUR,OPEN,2022-07-31T08:24:49+00:00,
ACC0000014,CUST000011,LU09A3GE8N6QIWEPXSK2,PR005,BR008,EUR,OPEN,2025-11-11T00:34:28+00:00,
ACC0000015,CUST000012,LU70TGIQHG9JRSNVNQ65,PR005,BR010,EUR,OPEN,2023-10-22T17:16:32+00:00,
ACC0000016,CUST000012,LU35CAVIQK2919AHEJ8C,PR005,BR001,EUR,OPEN,2023-10-22T17:16:32+00:00,
ACC0000017,CUST000013,LU05WNPGW90JPKL0BLV0,PR003,BR007,EUR,CLOSED,2025-05-15T16:46:20+00:00,2025-05-15T16:46:20+00:00
ACC0000018,CUST000013,LU13YC4OM3WTOOBMZVRE,PR004,BR005,EUR,OPEN,2025-05-15T16:46:20+00:00,
ACC0000019,CUST000014,LU68VBHQLQCG1WU16HYM,PR005,BR006,EUR,OPEN,2025-11-24T18:02:00+00:00,
ACC0000020,CUST000014,LU461EVUHT6T0UZS9IM0,PR005,BR001,EUR,CLOSED,2025-11-24T18:02:00+00:00,2025-11-24T18:02:00+00:00
ACC0000021,CUST000014,LU00TSN1U322N64KFS6V,PR007,BR003,EUR,OPEN,2025-11-24T18:02:00+00:00,
ACC0000022,CUST000015,LU18BCP4E30MY5ZPJAG1,PR004,BR005,EUR,OPEN,2022-04-20T10:09:13+00:00,
ACC0000023,CUST000016,LU153I379U26192K42QP,PR008,BR001,EUR,OPEN,2024-09-18T05:55:11+00:00,
ACC0000024,CUST000017,LU352ESPRVU8FIJOYJNE,PR005,BR009,EUR,OPEN,2025-10-31T22:11:28+00:00,
ACC0000025,CUST000017,LU53DN0YBY4AWTY088O5,PR007,BR007,EUR,OPEN,2025-10-31T10:59:52+00:00,
ACC0000026,CUST000018,LU85ZK3I8BZBF1I3LDQY,PR007,BR008,EUR,OPEN,2024-01-07T12:42:47+00:00,
ACC0000027,CUST000019,LU48R0QF4B8DWOECBPMB,PR008,BR006,EUR,OPEN,2023-09-22T00:50:06+00:00,
ACC0000028,CUST000020,LU72N3QXKHKTGBTYZMEP,PR004,BR003,EUR,OPEN,2025-06-10T21:28:46+00:00,
ACC0000029,CUST000021,LU72CW81XE6VA05G1X3J,PR005,BR010,EUR,OPEN,2025-09-12T21:35:04+00:00,
ACC0000030,CUST000022,LU93RUPFR2P3YVB5UL5N,PR005,BR010,EUR,OPEN,2023-09-28T01:18:24+00:00,
ACC0000031,CUST000023,LU89R9A7MFP059P452BF,PR005,BR006,EUR,OPEN,2022-04-22T21:27:44+00:00,
ACC0000032,CUST000024,LU47497W19VW3RTQOHMU,PR007,BR004,EUR,OPEN,2025-05-17T02:56:12+00:00,
ACC0000033,CUST000025,LU357SGMSOXLTA8IRCD9,PR003,BR004,EUR,OPEN,2024-04-19T19:38:32+00:00,
ACC0000034,CUST000026,LU73S442VLDQ4HEZ5EDJ,PR003,BR008,EUR,OPEN,2021-04-20T23:49:10+00:00,
ACC0000035,CUST000027,LU77O7Y22T1TDGNNQFKP,PR005,BR002,EUR,CLOSED,2021-08-16T13:20:15+00:00,2021-08-16T13:20:15+00:00
ACC0000036,CUST000028,LU884SCOSS3EOQM1H8OJ,PR002,BR003,EUR,OPEN,2023-06-29T20:09:40+00:00,
ACC0000037,CUST000029,LU39S2H3TZR6852FC1UQ,PR003,BR002,EUR,OPEN,2023-04-26T22:18:44+00:00,
ACC0000038,CUST000029,LU73BRCL472RL15F4W0V,PR001,BR002,EUR,OPEN,2023-09-05T10:02:20+00:00,
ACC0000039,CUST000030,LU63SZ9C3FUQUHZ6A830,PR002,BR003,EUR,OPEN,2024-08-14T21:23:56+00:00,
ACC0000040,CUST000031,LU56DNR9IS25HBPKT9A9,PR006,BR010,EUR,OPEN,2024-09-30T23:39:01+00:00,
ACC0000041,CUST000032,LU82J5S6R044P39JYM6I,PR004,BR002,EUR,OPEN,2022-09-07T17:15:04+00:00,
ACC0000042,CUST000033,LU64RAST5J284WV98Y3U,PR005,BR007,EUR,OPEN,2025-10-21T10:37:15+00:00,
ACC0000043,CUST000033,LU990CU4YYJ5CI6VG2G7,PR004,BR004,EUR,OPEN,2025-10-21T10:37:15+00:00,
ACC0000044,CUST000034,LU19E4QVZFV8YU58CEPS,PR001,BR003,EUR,OPEN,2023-02-19T01:07:25+00:00,
ACC0000045,CUST000034,LU97G2KTBCUDSWX1JP70,PR004,BR002,EUR,OPEN,2023-02-19T01:07:25+00:00,
