customer_id,first_name,last_name,dob,country,created_at,updated_at
CUST000001,Nathan,Traore,1984-12-09,Luxembourg,2022-04-24T04:05:35,2025-03-10T09:16:42
CUST000002,Ioannis,Joly,1970-02-19,Luxembourg,2021-05-18T05:13:59,2021-05-18T05:13:59
CUST000003,Timothy,Cox,2000-01-18,Luxembourg,2025-10-04T17:10:24,2025-10-04T17:10:24
CUST000004,Nicholas,Oliver,1992-01-25,Germany,2024-09-19T15:48:18,2024-09-19T15:48:18
CUST000005,Éric,Rey,1998-06-04,Luxembourg,2021-12-12T03:05:14,2021-12-12T03:05:14
CUST000006,Mandy,Guilbert,1992-01-24,Luxembourg,2022-03-09T11:06:16,2023-10-18T11:53:20
CUST000007,Michelle,Harrison,2008-11-20,Belgium,2024-03-14T04:51:12,2024-03-14T04:51:12
CUST000008,Heinz-Werner,Schacht,1974-11-08,Germany,2021-10-20T13:06:44,2022-08-30T08:19:29
CUST000009,Mara,Thierry,1991-11-27,Luxembourg,2024-04-09T18:05:05,2024-04-09T18:05:05
CUST000010,Marthe,Karge,1969-11-21,Luxembourg,2022-07-31T08:24:49,2022-07-31T08:24:49
CUST000011,Gerold,Ledoux,2001-07-09,Switzerland,2025-11-11T00:34:28,2025-11-11T00:34:28
CUST000012,Edmund,Gillet,1988-01-08,Germany,2023-10-22T17:16:32,2023-10-22T17:16:32
CUST000013,Agathe,Schleich,2007-12-11,Luxembourg,2025-05-15T16:46:20,2025-05-15T16:46:20
CUST000014,Maja,Chauveau,1951-03-09,Luxembourg,2025-11-24T18:02:00,2025-11-24T18:02:00
CUST000015,Apollonia,Hoareau,1971-10-13,Luxembourg,2022-04-20T10:09:13,2022-04-20T10:09:13
CUST000016,Françoise,Schottin,2008-02-05,France,2024-09-18T05:55:11,2024-09-18T05:55:11
CUST000017,Linda,Lucas,1990-08-17,Luxembourg,2025-10-30T10:54:14,2025-11-01T16:24:33
CUST000018,Benjamin,Wilson,1974-11-18,Germany,2024-01-07T12:42:47,2024-01-07T12:42:47
CUST000019,Daniel,Roussel,1991-01-24,Belgium,2023-05-13T23:06:07,2024-02-15T11:43:36
CUST000020,Karl-Hans,Schuster,1984-11-10,Germany,2025-06-10T21:28:46,2025-06-10T21:28:46
CUST000021,Gotthold,Klapp,1998-03-18,Switzerland,2025-08-20T09:25:38,2025-12-14T16:42:40
CUST000022,Marguerite,Tintzmann,1994-02-12,Belgium,2023-09-28T01:18:24,2023-09-28T01:18:24
