account_id,customer_id,iban,product_id,branch_id,currency,status,opened_at,closed_at
ACC0000001,CUST000001,LU48URL65B4KJ4HBI6JL,PR007,BR003,EUR,OPEN,2024-05-07T00:02:10+00:00,
ACC0000002,CUST000001,LU88O2DRVAUK7VWZZUTK,PR006,BR002,EUR,OPEN,2024-05-07T00:02:10+00:00,
ACC0000003,CUST000002,LU32KKS4RFGY134O5OG2,PR008,BR005,EUR,CLOSED,2022-06-13T19:02:02+00:00,2022-06-13T19:02:02+00:00
ACC0000004,CUST000003,LU277YFTD8NG1AB91NQ1,PR007,BR004,EUR,OPEN,2022-08-27T09:12:22+00:00,
ACC0000005,CUST000004,LU546A6YH5O3XSH88JBB,PR004,BR007,EUR,OPEN,2023-03-16T21:59:38+00:00,
ACC0000006,CUST000005,LU28UXJUGN33BSRPWGLI,PR003,BR001,EUR,OPEN,2025-07-09T02:31:20+00:00,
ACC0000007,CUST000005,LU12B2LR0M9KM82ZI4GH,PR003,BR002,EUR,CLOSED,2025-07-09T02:31:20+00:00,2025-07-09T02:31:20+00:00
ACC0000008,CUST000006,LU07TY1LQIB5CV39ZKIJ,PR005,BR009,EUR,OPEN,2022-07-20T20:12:30+00:00,
ACC0000009,CUST000006,LU455GS7PNRTDL2F31IU,PR006,BR007,EUR,OPEN,2022-07-20T20:12:30+00:00,
ACC0000010,CUST000007,LU17AU5B0ZJ8Q7D263FC,PR002,BR003,EUR,OPEN,2025-03-11T11:08:26+00:00,
ACC0000011,CUST000008,LU34N11T6APR1H42BVAQ,PR008,BR004,EUR,OPEN,2023-02-24T20:27:08+00:00,
ACC0000012,CUST000008,LU06U5X5VILFRT2BBREY,PR005,BR004,EUR,OPEN,2023-05-31T04:40:40+00:00,
ACC0000013,CUST000009,LU20FHLR7SAF744G8CPO,PR005,BR009,EUR,OPEN,2023-01-11T19:24:26+00:00,
ACC0000014,CUST000010,LU087M8GP3MJWNXVAQML,PR008,BR005,EUR,OPEN,2025-01-25T13:18:11+00:00,
ACC0000015,CUST000011,LU69A2F2HAW1W9B3OVWQ,PR003,BR006,EUR,CLOSED,2024-09-22T08:01:57+00:00,2024-09-22T08:01:57+00:00
ACC0000016,CUST000012,LU14IT345U13ESFK506Q,PR007,BR004,EUR,OPEN,2023-10-31T16:19:54+00:00,
ACC0000017,CUST000012,LU465O2R05HGQBT8Z0RT,PR001,BR006,EUR,OPEN,2023-02-05T23:08:54+00:00,
ACC0000018,CUST000012,LU9582GDZAFC5NWOK1EP,PR006,BR009,EUR,OPEN,2023-11-21T10:16:27+00:00,
ACC0000019,CUST000013,LU67U6FR4O60DGJWWRRH,PR003,BR006,EUR,OPEN,2024-02-13T00:32:05+00:00,
ACC0000020,CUST000013,LU52KVBG0PN3QF4DJE5L,PR001,BR006,EUR,OPEN,2024-02-13T00:32:05+00:00,
