counterparty_id,counterparty_name,counterparty_type,bank_bic,country
CP000001,Alexander Schmiedt-Krebs,PERSONAL,,Belgium
CP000002,Emmy Gorlitz,PERSONAL,,France
CP000003,James Bradley,PERSONAL,,Luxembourg
CP000004,Sébastien Ledoux,PERSONAL,,Switzerland
CP000005,Darren Payne,PERSONAL,,Belgium
CP000006,Katie Holt,PERSONAL,,Belgium
CP000007,Roland Laroche-Lombard,PERSONAL,,Germany
CP000008,Anne Paris,PERSONAL,,Germany
CP000009,Gisbert Geisler,PERSONAL,,France
CP000010,Miss Katy Byrne,PERSONAL,,Switzerland
CP000011,Ramona Geisel,PERSONAL,,Belgium
CP000012,Ing. Ines Budig MBA.,PERSONAL,,Luxembourg
CP000013,Prof. David Holzapfel,PERSONAL,,Belgium
CP000014,Trudi Caspar,PERSONAL,,France
CP000015,Philippine Chartier,PERSONAL,,France
CP000016,Dr. Jeannine Hauffer B.Sc.,PERSONAL,,Switzerland
CP000017,Gavin Dunn,PERSONAL,,Belgium
CP000018,Dr. Hans-Detlef Trüb B.A.,PERSONAL,,Luxembourg
CP000019,Mrs Denise Ball,PERSONAL,,Luxembourg
CP000020,Gabrielle Roussel-Briand,PERSONAL,,France
CP000021,Roger Gilbert,PERSONAL,,Switzerland
CP000022,Gerard Martin,PERSONAL,,France
CP000023,Dipl.-Ing. Yasemin Harloff,PERSONAL,,France
CP000024,Eleni Fröhlich,PERSONAL,,Germany
CP000025,Janos Kramer,PERSONAL,,Luxembourg
CP000026,June Roberts,PERSONAL,,France
CP000027,Joan Patel,PERSONAL,,France
CP000028,Jost Ritter,PERSONAL,,Switzerland
CP000029,Laura Payne,PERSONAL,,France
CP000030,Pierre Turpin,PERSONAL,,Belgium
CP000031,Frédéric Le Lemaître,PERSONAL,,Luxembourg
CP000032,Caroline Martins,PERSONAL,,Germany
CP000033,Sylvia Schmiedt B.Sc.,PERSONAL,,Germany
CP000034,Eleonora Täsche,PERSONAL,,Luxembourg
CP000035,Sieghard Staude,PERSONAL,,Germany
CP000036,Christiane-Christine Pottier,PERSONAL,,France
CP000037,Auguste Baudry,PERSONAL,,Switzerland
CP000038,Aleksej Weiß,PERSONAL,,Germany
CP000039,Ing. Harald Gute,PERSONAL,,Germany
CP000040,Graham Bates,PERSONAL,,Switzerland
CP000041,Ross Ahmed,PERSONAL,,Belgium
CP000042,Tadeusz Dörschner,PERSONAL,,Belgium
CP000043,Philippe-Luc Fischer,PERSONAL,,Germany
