customer_id,first_name,last_name,dob,country,created_at,updated_at
CUST000001,Francisco,Chauvet,1961-03-01,France,2024-05-07T00:02:10,2024-05-07T00:02:10
CUST000002,Rafael,Höfig,2001-01-27,Luxembourg,2022-06-13T19:02:02,2022-06-13T19:02:02
CUST000003,Denise,Barth,1974-01-05,Luxembourg,2022-08-27T09:12:22,2022-08-27T09:12:22
CUST000004,Gilbert,Baudry,2003-12-19,France,2023-02-10T17:57:40,2023-05-16T13:37:29
CUST000005,Alice,Michel,1952-01-11,Belgium,2025-07-09T02:31:20,2025-07-09T02:31:20
CUST000006,Corinne,Arnaud,1991-07-11,France,2022-07-20T20:12:30,2022-07-20T20:12:30
CUST000007,Erwin,Wagner,1982-08-03,Germany,2025-03-11T11:08:26,2025-03-11T11:08:26
CUST000008,Marie,King,1943-05-16,Luxembourg,2021-11-03T23:29:48,2025-01-21T02:23:18
CUST000009,Caroline,Paris,1959-08-16,Luxembourg,2023-01-11T19:24:26,2023-01-11T19:24:26
CUST000010,Adam,Geisler,1990-07-08,Belgium,2024-03-24T12:57:03,2025-05-09T05:21:30
CUST000011,Tom,Evans,1992-01-18,Luxembourg,2024-09-22T08:01:57,2024-09-22T08:01:57
CUST000012,Ronald,Walter,2007-07-20,France,2022-11-13T12:52:37,2023-12-10T18:24:56
CUST000013,Lilli,Barre,1971-08-07,Belgium,2024-02-13T00:32:05,2024-02-13T00:32:05
CUST000014,Yvonne,Heuser,1958-07-26,Luxembourg,2021-03-10T02:38:40,2021-03-10T02:38:40
CUST000015,Damian,Brady,1994-08-26,Switzerland,2023-01-07T06:26:23,2023-01-07T06:26:23
CUST000016,Gunar,Thompson,1984-09-18,France,2021-05-02T04:54:26,2021-05-02T04:54:26
CUST000017,Wolf-Rüdiger,Caspar,1948-03-02,Luxembourg,2022-03-22T06:15:21,2022-03-22T06:15:21
CUST000018,Nathalie,Losekann,1988-03-11,Luxembourg,2025-01-14T15:56:38,2025-01-14T15:56:38
CUST000019,Natalie,Hein,1960-01-10,Switzerland,2023-03-22T23:43:33,2023-03-22T23:43:33
CUST000020,Helmar,Legendre,1988-11-06,France,2022-04-04T00:57:31,2022-04-04T00:57:31
CUST000021,Sedat,Taylor,2008-10-12,Germany,2021-05-06T01:38:22,2022-12-04T09:59:01
CUST000022,Paul,Trüb,2003-12-18,Belgium,2022-10-01T15:03:45,2025-01-15T12:20:38
CUST000023,Éléonore,Caspar,1981-07-05,Belgium,2021-12-24T16:13:18,2025-06-10T12:06:05
CUST000024,Rosa,Joubert,2002-09-13,France,2021-08-20T15:49:35,2024-12-12T16:41:47
CUST000025,Eugène,Anders,1981-03-28,Germany,2023-04-10T15:44:03,2023-05-08T10:46:42
CUST000026,Peter,Duffy,1969-08-02,Luxembourg,2025-01-24T17:13:50,2025-01-24T17:13:50
CUST000027,Rosie,Martin,2003-03-11,Belgium,2022-12-30T09:52:17,2022-12-30T09:52:17
CUST000028,Hubertine,Neuschäfer,1994-05-17,Switzerland,2023-02-25T00:22:08,2024-01-28T18:10:26
CUST000029,Audrey,Henschel,1969-05-02,France,2024-11-29T13:08:26,2025-11-21T04:12:31
CUST000030,Suzanne,Otto,1993-12-11,Luxembourg,2021-11-27T06:12:27,2024-09-06T23:28:29
CUST000031,Corinne,Schweitzer,2003-03-20,Belgium,2023-11-22T02:19:56,2025-12-31T00:02:26
CUST000032,Claire,Wilson,2008-03-22,Germany,2025-08-29T23:06:57,2025-10-20T03:00:11
CUST000033,Gertraud,Dörschner,1980-08-22,Luxembourg,2021-11-15T06:15:38,2021-11-15T06:15:38
CUST000034,Janice,Hayes,2003-05-09,Luxembourg,2024-11-02T19:45:58,2024-11-02T19:45:58
CUST000035,André,Girard,1983-05-14,France,2025-02-14T21:41:02,2025-02-14T21:41:02
CUST000036,Natalie,Guillaume,1964-06-01,France,2023-06-02T05:46:23,2023-06-02T05:46:23
CUST000037,Tristan,Faust,1994-06-16,Luxembourg,2024-01-10T14:56:45,2024-05-26T10:27:12
CUST000038,Edgar,Jacques,1964-11-22,Luxembourg,2023-09-12T20:34:08,2023-09-12T20:34:08
CUST000039,Rosalinde,Brown,1964-05-19,Luxembourg,2024-05-02T21:28:30,2024-05-02T21:28:30
CUST000040,Jörn,Lemonnier,2000-03-19,France,2021-11-24T01:17:35,2022-08-23T07:56:24
CUST000041,Drago,Skinner,2002-11-01,France,2021-10-29T03:02:10,2021-10-29T03:02:10
CUST000042,Rosemary,Dos Santos,1981-02-27,Belgium,2025-09-09T00:20:45,2025-09-09T00:20:45
CUST000043,Steven,Garnier,2003-09-15,Belgium,2023-07-07T10:53:10,2023-07-07T10:53:10
CUST000044,Karen,Michel,1980-04-18,Germany,2023-03-20T05:07:10,2023-03-20T05:07:10
CUST000045,Jennifer,Maillard,1953-12-12,Luxembourg,2024-01-02T10:29:43,2025-04-01T20:08:19
CUST000046,Hans-Werner,Duffy,2003-08-16,France,2023-12-02T03:40:37,2025-04-03T02:34:04
CUST000047,Laurent,Pearce,2008-09-01,Luxembourg,2024-12-16T06:16:47,2024-12-16T06:16:47
CUST000048,Ron,Martel,1960-06-14,Luxembourg,2021-05-15T07:33:20,2021-05-15T07:33:20
CUST000049,Frédéric,Charles,1992-05-21,Luxembourg,2023-02-12T03:40:19,2023-02-12T03:40:19
CUST000050,Tracey,Gill,1940-03-10,Luxembourg,2025-04-14T20:10:37,2025-08-14T19:50:46
CUST000051,Roswita,Schmidt,1969-07-15,Luxembourg,2023-07-23T04:37:49,2023-07-23T04:37:49
CUST000052,Hans-Eberhard,Wesack,1959-03-22,Switzerland,2025-04-03T09:37:44,2025-04-03T09:37:44
CUST000053,Alfred,Stephenson,1950-05-19,Germany,2024-02-27T01:54:02,2024-02-27T01:54:02
CUST000054,Sybille,Roht,1962-08-27,Luxembourg,2024-11-13T16:15:38,2024-11-13T16:15:38
CUST000055,Grzegorz,Meunier,1994-10-24,Luxembourg,2023-05-05T12:49:47,2023-05-05T12:49:47
CUST000056,Serpil,Stoll,1981-05-23,France,2024-03-24T11:04:27,2025-04-01T08:28:17
CUST000057,Margaud,Hamon,1959-09-15,Germany,2021-12-22T22:36:52,2022-03-13T00:53:14
CUST000058,Egbert,Pohl,1988-01-03,France,2021-06-13T23:16:47,2021-06-13T23:16:47
CUST000059,Shane,Gallet,2002-04-06,Germany,2024-09-21T13:54:49,2024-11-13T00:54:53
CUST000060,Hedwig,Blümel,2004-03-12,Luxembourg,2025-08-09T21:26:48,2025-08-09T21:26:48
CUST000061,Edward,Carsten,1982-08-08,Luxembourg,2021-08-11T22:06:33,2022-06-24T01:35:19
CUST000062,Stanislaus,Davidson,2002-06-09,Luxembourg,2022-02-14T14:25:14,2022-02-14T14:25:14
CUST000063,Claus-Peter,Marchand,2002-07-06,Luxembourg,2021-04-25T15:09:37,2021-04-25T15:09:37
CUST000064,Raymond,Jean,1973-12-26,Luxembourg,2025-01-06T10:24:49,2025-01-06T10:24:49
CUST000065,Laetitia,Germain,1989-01-05,Germany,2021-10-01T11:03:43,2025-12-07T17:40:07
